timestamp,elapsed_time,rpm,speed_mph,throttle_pos,coolant_temp_f,intake_temp_f,maf_gps,engine_load,timing_advance,fuel_trim_short,fuel_trim_long,accel_long_g,accel_lat_g,accel_vert_g,accel_total_g,pitch_deg,roll_deg,yaw_rate_dps,gps_lat,gps_lon,gps_alt_m,gps_speed_mph,gps_heading,gps_satellites,gps_valid,temp_oil_f,temp_intake_f,temp_brake_f,temp_trans_f,temp_ambient_f
2025-10-28T10:55:11.242146,0.0,800,0.2,97.8,184.8,85.1,51.1,80.2,17.2,-0.3,-0.0,0.398,-0.028,-0.041,0.399,0.83,-0.47,-1.88,33.955552,-117.3962,396.0,0.9,0.0,11,True,195.4,84.8,190.6,199.3,77.2
2025-10-28T10:55:11.242974,0.02,814,0.3,97.2,185.2,85.9,55.3,79.7,19.3,-0.5,-0.4,0.397,-0.01,-0.154,0.397,0.37,0.18,-2.62,33.955552,-117.3962,393.3,-0.0,0.0,11,True,194.0,85.3,182.7,200.0,78.9
2025-10-28T10:55:11.243046,0.04,781,0.5,92.2,186.2,84.9,51.6,75.6,18.9,3.2,-1.0,0.357,0.011,0.006,0.357,1.01,-0.22,2.73,33.955552,-117.3962,392.2,-0.4,0.0,10,True,194.8,84.3,181.4,200.4,77.5
2025-10-28T10:55:11.243096,0.06,863,0.7,92.8,183.9,84.9,53.5,76.1,18.0,3.3,-1.8,0.389,0.035,0.084,0.39,0.53,0.09,-1.56,33.955552,-117.3962,395.7,-0.7,0.0,11,True,193.6,85.7,190.1,196.0,77.0
2025-10-28T10:55:11.243136,0.08,826,0.8,95.0,184.3,83.3,52.5,77.9,24.4,0.6,1.6,0.38,0.015,-0.102,0.381,0.95,0.53,2.32,33.955552,-117.3962,397.1,1.6,0.0,7,True,196.7,86.5,183.9,199.6,78.5
2025-10-28T10:55:11.243174,0.1,887,1.0,97.3,187.0,84.3,51.9,79.7,23.5,1.5,1.3,0.406,0.041,-0.135,0.408,1.1,0.27,0.75,33.955552,-117.3962,397.0,1.2,0.0,9,True,194.7,83.9,185.1,197.1,77.9
2025-10-28T10:55:11.243214,0.12,878,1.2,93.1,187.8,84.9,54.9,76.3,25.8,1.8,0.5,0.386,-0.006,-0.076,0.386,0.78,0.24,4.98,33.955552,-117.3962,397.9,2.7,0.0,11,True,197.1,83.6,186.9,198.5,78.1
2025-10-28T10:55:11.243369,0.14,896,1.4,94.8,187.6,82.6,51.1,77.7,25.1,-0.8,-1.8,0.39,-0.007,-0.01,0.39,0.38,0.47,1.3,33.955552,-117.396199,393.0,0.1,0.0,8,True,194.8,87.7,189.1,200.9,78.1
2025-10-28T10:55:11.243432,0.16,877,1.5,93.6,186.2,84.2,51.4,76.7,20.0,-0.5,-1.6,0.38,0.028,-0.066,0.381,0.49,-0.26,-3.3,33.955552,-117.396199,395.2,3.0,0.0,9,True,198.0,85.6,181.5,197.6,77.8
2025-10-28T10:55:11.243478,0.18,854,1.7,94.8,186.2,86.5,55.7,77.8,16.5,0.1,1.7,0.362,-0.04,0.089,0.364,0.27,0.36,-1.88,33.955552,-117.396199,392.6,1.0,0.0,7,True,193.8,85.8,188.2,200.1,79.0
